"1","Comparative metagenomic and metatranscriptomic analyses reveal the breed effect on the rumen microbiome and its associations with feed efficiency in beef cattle","Microorganisms are responsible for fermentation within the rumen and have been reported to contribute to the variation in feed efficiency of cattle. However, to what extent the breed affects the rumen microbiome and its association with host feed efficiency is unknown. Here, rumen microbiomes of beef cattle (n = 48) from three breeds (Angus, Charolais, Kinsella composite hybrid) with high and low feed efficiency were explored using metagenomics and metatranscriptomics, aiming to identify differences between functional potentials and activities of same rumen microbiomes and to evaluate the effects of host breed and feed efficiency on the rumen microbiome."
"3","Comparative metagenomic and metatranscriptomic analyses reveal the breed effect on the rumen microbiome and its associations with feed efficiency in beef cattle","Microorganisms are responsible for fermentation within the rumen and have been reported to contribute to the variation in feed efficiency of cattle. However, to what extent the breed affects the rumen microbiome and its association with host feed efficiency is unknown. Here, rumen microbiomes of beef cattle (n = 48) from three breeds (Angus, Charolais, Kinsella composite hybrid) with high and low feed efficiency were explored using metagenomics and metatranscriptomics, aiming to identify differences between functional potentials and activities of same rumen microbiomes and to evaluate the effects of host breed and feed efficiency on the rumen microbiome."
"1","Enterotypes of the human gut microbiome","Our knowledge of species and functional composition of the human gut microbiome is rapidly increasing, but it is still based on very few cohorts and little is known about variation across the world. By combining 22 newly sequenced faecal metagenomes of individuals from four countries with previously published data sets, here we identify three robust clusters (referred to as enterotypes hereafter) that are not nation or continent specific. We also confirmed the enterotypes in two published, larger cohorts, indicating that intestinal microbiota variation is generally stratified, not continuous. This indicates further the existence of a limited number of well-balanced host-microbial symbiotic states that might respond differently to diet and drug intake. The enterotypes are mostly driven by species composition, but abundant molecular functions are not necessarily provided by abundant species, highlighting the importance of a functional analysis to understand microbial communities. Although individual host properties such as body mass index, age, or gender cannot explain the observed enterotypes, data-driven marker genes or functional modules can be identified for each of these host properties. For example, twelve genes significantly correlate with age and three functional modules with the body mass index, hinting at a diagnostic potential of microbial markers."
"1","A Survey of Culturable Fungal Endophytes From Festuca rubra subsp. pruinosa, a Grass From Marine Cliffs, Reveals a Core Microbiome","Festuca rubra subsp. pruinosa is a perennial grass that inhabits sea cliffs of the Atlantic coasts of Europe. In this unhospitable environment plants grow in rock crevices and are exposed to abiotic stress factors such as low nutrient availability, wind, and salinity. Festuca rubra subsp. pruinosa is a host of the fungal endophyte Epichloë festucae, which colonizes aerial organs, but its root mycobiota is unknown. The culturable endophytic mycobiota of FRP roots was surveyed in a set of 105 plants sampled at five populations in marine cliffs from the northern coast of Spain. In total, 135 different fungal taxa were identified, 17 of them occurred in more than 10% of plants and in two or more populations. Seven taxa belonging to Fusarium, Diaporthe, Helotiales, Drechslera, Slopeiomyces and Penicillium appeared to be constituents of the core microbiome of Festuca rubra subsp. pruinosa roots because they occurred in more than 20% of the plants analyzed, and at three or more populations. Most fungal strains analyzed (71.8%) were halotolerant. The presence of Epichloë festucae in aboveground tissue was detected in 65.7 % of the plants, but its presence did not seem to significantly affect the structure of the core or other root microbiota, when compared to that of plants free of this endophyte. When plants of the grass Lolium perenne were inoculated with fungal strains obtained from Festuca rubra subsp. pruinosa roots, a Diaporthe strain significantly promoted leaf biomass production under normal and saline (200 mM NaCl) watering regimes. These results suggest that the core mycobiome of Festuca rubra subsp. pruinosa could have a role in host plant adaptation, and might be useful for the improvement of agricultural grasses."
"1","Talk to your gut: the oral-gut microbiome axis and its immunomodulatory role in the etiology of rheumatoid arthritis","Microbial communities inhabiting the human body, collectively called the microbiome, are critical modulators of immunity. This notion is underpinned by associations between changes in the microbiome and particular autoimmune disorders. Specifically, in rheumatoid arthritis, one of the most frequently occurring autoimmune disorders worldwide, changes in the oral and gut microbiomes have been implicated in the loss of tolerance against self-antigens and in increased inflammatory events promoting the damage of joints. In the present review, we highlight recently gained insights in the roles of microbes in the etiology of rheumatoid arthritis. In addition, we address important immunomodulatory processes, including biofilm formation and neutrophil function, which have been implicated in host-microbe interactions relevant for rheumatoid arthritis. Lastly, we present recent advances in the development and evaluation of emerging microbiome-based therapeutic approaches. Altogether, we conclude that the key to uncovering the etiopathogenesis of rheumatoid arthritis will lie in the immunomodulatory functions of the oral and gut microbiomes.;"
"1","A Critical Review of the Bacterial Baptism Hypothesis and the Impact of Cesarean Delivery on the Infant Microbiome","Numerous studies suggest that infants delivered by cesarean section are at a greater risk of non-communicable diseases than their vaginal counterparts. In particular, epidemiological studies have linked Cesarean delivery with increased rates of asthma, allergies, autoimmune disorders, and obesity. Mode of delivery has also been associated with differences in the infant microbiome. It has been suggested that these differences are attributable to the “bacterial baptism” of vaginal birth, which is bypassed in cesarean deliveries, and that the abnormal establishment of the early-life microbiome is the mediator of later-life adverse outcomes observed in cesarean delivered infants. This has led to the increasingly popular practice of “vaginal seeding”: the iatrogenic transfer of vaginal microbiota to the neonate to promote establishment of a “normal” infant microbiome. In this review, we summarize and critically appraise the current evidence for a causal association between Cesarean delivery and neonatal dysbiosis. We suggest that, while Cesarean delivery is certainly associated with alterations in the infant microbiome, the lack of exposure to vaginal microbiota is unlikely to be a major contributing factor. Instead, it is likely that indication for Cesarean delivery, intrapartum antibiotic administration, absence of labor, differences in breastfeeding behaviors, maternal obesity, and gestational age are major drivers of the Cesarean delivery microbial phenotype. We, therefore, call into question the rationale for “vaginal seeding” and support calls for the halting of this practice until robust evidence of need, efficacy, and safety is available."
"1","Evolutionary dynamics of bacteria in the gut microbiome within and across hosts","Gut microbiota are shaped by a combination of ecological and evolutionary forces. While the ecological dynamics have been extensively studied, much less is known about how species of gut bacteria evolve over time. Here, we introduce a model-based framework for quantifying evolutionary dynamics within and across hosts using a panel of metagenomic samples. We use this approach to study evolution in approximately 40 prevalent species in the human gut. Although the patterns of between-host diversity are consistent with quasi-sexual evolution and purifying selection on long timescales, we identify new genealogical signatures that challenge standard population genetic models of these processes. Within hosts, we find that genetic differences that accumulate over 6-month timescales are only rarely attributable to replacement by distantly related strains. Instead, the resident strains more commonly acquire a smaller number of putative evolutionary changes, in which nucleotide variants or gene gains or losses rapidly sweep to high frequency. By comparing these mutations with the typical between-host differences, we find evidence that some sweeps may be seeded by recombination, in addition to new mutations. However, comparisons of adult twins suggest that replacement eventually overwhelms evolution over multi-decade timescales, hinting at fundamental limits to the extent of local adaptation. Together, our results suggest that gut bacteria can evolve on human-relevant timescales, and they highlight the connections between these short-term evolutionary dynamics and longer-term evolution across hosts.;"
"1","Tongue coating microbiome data distinguish patients with pancreatic head cancer from healthy controls","Background: The microbiota plays a critical role in the process of human carcinogenesis. Pancreatic head carcinoma (PHC)-associated tongue coating microbiome dysbiosis has not yet been clearly defined.Objective: Our aim is to reveal the bacterial composition shifts in the microbiota of the tongue coat of PHC patients.Design: The tongue coating microbiota was analyzed in 30 PHC patients and 25 healthy controls using 16S rRNA gene sequencing technology.Results: The microbiome diversity of the tongue coat in PHC patients was significantly increased, as shown by the Shannon, Simpson, inverse Simpson, Obs and incidence-based coverage estimators. Principal component analysis revealed that PHC patients were colonized by remarkably different tongue coating microbiota than healthy controls and liver cancer patients. Linear discriminant analysis effect size revealed that Leptotrichia, Fusobacterium,Rothia, Actinomyces, Corynebacterium, Atopobium, Peptostreptococcus, Catonella, Oribacterium, Filifactor, Campylobacter, Moraxella and Tannerella were overrepresented in the tongue coating of PHC patients, and Haemophilus, Porphyromonas and Paraprevotella were enriched in the tongue coating microbiota of healthy controls. Strikingly, Haemophilus, Porphyromonas, Leptotrichia and Fusobacterium could distinguish PHC patients from healthy subjects, and Streptococcus and SR1 could distinguish PHC patients from liver cancer patients. Conclusions: These findings identified the microbiota dysbiosis of the tongue coat in PHC patients, and provide insight into the association between the human microbiome and pancreatic cancer."
"1","Structural variation in the gut microbiome associates with host health","The authors systematically characterize structural variation in the genomes of gut microbiota and show that they are associated with bacterial fitness and with host risk factors, and that examining genes coded in these regions facilitates investigation of mechanisms that may underlie these associations."
"1","IMG/M v.5.0: an integrated data management and comparative analysis system for microbial genomes and microbiomes","The Integrated Microbial Genomes & Microbiomes system v.5.0 (IMG/M: https://img.jgi.doe.gov/m/) contains annotated datasets categorized into: archaea, bacteria, eukarya, plasmids, viruses, genome fragments, metagenomes, cell enrichments, single particle sorts, and metatranscriptomes. Source datasets include those generated by the DOE’s Joint Genome Institute (JGI), submitted by external scientists, or collected from public sequence data archives such as NCBI. All submissions are typically processed through the IMG annotation pipeline and then loaded into the IMG data warehouse. IMG’s web user interface provides a variety of analytical and visualization tools for comparative analysis of isolate genomes and metagenomes in IMG. IMG/M allows open access to all public genomes in the IMG data warehouse, while its expert review (ER) system (IMG/MER: https://img.jgi.doe.gov/mer/) allows registered users to access their private genomes and to store their private datasets in workspace for sharing and for further analysis. IMG/M data content has grown by 60% since the last report published in the 2017 NAR Database Issue. IMG/M v.5.0 has a new and more powerful genome search feature, new statistical tools, and supports metagenome binning."
